产线编号,批次号,产品名称,单据装箱数,单据扫码数,箱码成功数,箱码失败数,瓶码扫描数,分箱数,漏读箱码数,瓶码识读率,箱码识读率,生产状态
02,1704143,精品纯生,0,0,0,0,0,0,0,,,生产中
02,1704143,精品纯生,0,0,0,0,0,0,0,,,生产中
02,1704143,精品纯生,0,0,0,0,0,0,0,,,生产中
02,1704143,精品纯生,0,0,0,0,0,0,0,,,生产中
02,1704143,精品纯生,0,0,0,0,0,0,0,,,生产中
02,1704143,精品纯生,0,0,0,0,0,0,0,,,生产中
02,1704143,精品纯生,0,0,0,0,0,0,0,,,生产中
02,1704143,精品纯生,0,0,0,0,0,0,0,,,生产中
02,1704143,精品纯生,0,0,0,0,0,0,0,,,生产中
02,1704143,精品纯生,0,0,0,0,0,0,0,,,生产中
02,1704143,精品纯生,0,0,0,0,0,0,0,,,生产中
02,1704143,精品纯生,9,107,9,0,107,9,0,99.0740740740741%,100%,生产中
02,1704143,精品纯生,35,419,35,0,419,35,0,99.7619047619048%,100%,生产中
02,1704143,精品纯生,53,647,53,1,647,54,0,99.8456790123457%,98.1481481481482%,生产中
02,1704143,精品纯生,79,958,79,1,958,80,0,99.7916666666667%,98.75%,生产中
02,1704143,精品纯生,96,1198,96,4,1198,100,0,99.8333333333333%,96%,生产中
02,1704143,精品纯生,104,1317,104,6,1317,110,0,99.7727272727273%,94.5454545454545%,生产中
02,1704143,精品纯生,117,1521,117,9,1521,126,0,99.8015873015873%,92.8571428571429%,生产中
02,1704143,精品纯生,123,1581,123,9,1581,132,0,99.8106060606061%,93.1818181818182%,生产中
02,1704143,精品纯生,123,1581,123,9,1581,132,0,99.8106060606061%,93.1818181818182%,生产中
02,1704143,精品纯生,123,1581,123,9,1581,132,0,99.8106060606061%,93.1818181818182%,生产中
02,1704143,精品纯生,141,1797,141,9,1797,150,0,99.8333333333333%,94%,生产中
02,1704143,精品纯生,159,2073,159,14,2073,173,0,99.8554913294798%,91.9075144508671%,生产中
02,1704143,精品纯生,166,2181,166,15,2181,181,0,99.8618784530387%,91.7127071823204%,生产中
02,1704143,精品纯生,182,2384,182,17,2384,199,0,99.8324958123953%,91.4572864321608%,生产中
02,1704143,精品纯生,206,2696,206,19,2696,225,0,99.8518518518519%,91.5555555555556%,生产中
02,1704143,精品纯生,218,2852,218,19,2852,237,0,99.85935302391%,91.9831223628692%,生产中
02,1704143,精品纯生,226,3014,226,25,3014,251,0,99.867197875166%,90.0398406374502%,生产中
02,1704143,精品纯生,236,3163,236,27,3163,263,0,99.8415716096325%,89.7338403041825%,生产中
02,1704143,精品纯生,255,3404,255,29,3404,284,0,99.8532863849765%,89.7887323943662%,生产中
02,1704143,精品纯生,281,3718,281,29,3718,310,0,99.8655913978495%,90.6451612903226%,生产中
02,1704143,精品纯生,304,4033,304,32,4033,336,0,99.8759920634921%,90.4761904761905%,生产中
02,1704143,精品纯生,331,4372,331,33,4372,364,0,99.8855311355311%,90.9340659340659%,生产中
02,1704143,精品纯生,353,4707,353,39,4707,392,0,99.8724489795918%,90.0510204081633%,生产中
02,1704143,精品纯生,363,4818,363,39,4818,402,0,99.8756218905473%,90.2985074626866%,生产中
02,1704143,精品纯生,363,4818,363,39,4818,402,0,99.8756218905473%,90.2985074626866%,生产中
02,1704143,精品纯生,363,4818,363,39,4818,402,0,99.8756218905473%,90.2985074626866%,生产中
02,1704143,精品纯生,363,4818,363,39,4818,402,0,99.8756218905473%,90.2985074626866%,生产中
02,1704143,精品纯生,363,4818,363,39,4818,402,0,99.8756218905473%,90.2985074626866%,生产中
02,1704143,精品纯生,363,4818,363,39,4818,402,0,99.8756218905473%,90.2985074626866%,生产中
02,1704143,精品纯生,363,4818,363,39,4818,402,0,99.8756218905473%,90.2985074626866%,生产中
02,1704143,精品纯生,375,5010,375,43,5010,418,0,99.8803827751196%,89.7129186602871%,生产中
02,1704143,精品纯生,399,5310,399,44,5310,443,0,99.8871331828443%,90.0677200902935%,生产中
02,1704143,精品纯生,426,5644,426,45,5644,471,0,99.8584571832979%,90.4458598726115%,生产中
02,1704143,精品纯生,451,5944,451,45,5944,496,0,99.8655913978495%,90.9274193548387%,生产中
02,1704143,精品纯生,475,6244,475,46,6244,521,0,99.8560460652591%,91.1708253358925%,生产中
02,1704143,精品纯生,502,6582,502,47,6582,549,0,99.8633879781421%,91.4389799635701%,生产中
02,1704143,精品纯生,529,6914,529,48,6914,577,0,99.8555748122473%,91.6811091854419%,生产中
02,1704143,精品纯生,547,7130,547,48,7130,595,0,99.859943977591%,91.9327731092437%,生产中
02,1704143,精品纯生,554,7217,554,48,7217,602,0,99.8615725359911%,92.0265780730897%,生产中
02,1704143,精品纯生,577,7541,577,52,7541,629,0,99.8675145733969%,91.7329093799682%,生产中
02,1704143,精品纯生,599,7826,599,53,7826,652,0,99.8721881390593%,91.8711656441718%,生产中
02,1704143,精品纯生,599,7826,599,53,7826,652,0,99.8721881390593%,91.8711656441718%,生产中
02,1704143,精品纯生,610,7994,610,57,7994,667,0,99.8750624687656%,91.4542728635682%,生产中
02,1704143,精品纯生,632,8330,632,63,8330,695,0,99.8800959232614%,90.9352517985612%,生产中
02,1704143,精品纯生,656,8629,656,64,8629,720,0,99.8726851851852%,91.1111111111111%,生产中
02,1704143,精品纯生,684,8964,684,64,8964,748,0,99.8663101604278%,91.4438502673797%,生产中
02,1704143,精品纯生,704,9264,704,69,9264,773,0,99.8706338939198%,91.0737386804657%,生产中
02,1704143,精品纯生,727,9576,727,72,9576,799,0,99.8748435544431%,90.9887359198999%,生产中
02,1704143,精品纯生,746,9804,746,72,9804,818,0,99.8777506112469%,91.1980440097799%,生产中
02,1704143,精品纯生,746,9804,746,72,9804,818,0,99.8777506112469%,91.1980440097799%,生产中
02,1704143,精品纯生,746,9804,746,72,9804,818,0,99.8777506112469%,91.1980440097799%,生产中
02,1704143,精品纯生,746,9804,746,72,9804,818,0,99.8777506112469%,91.1980440097799%,生产中
02,1704143,精品纯生,746,9804,746,72,9804,818,0,99.8777506112469%,91.1980440097799%,生产中
02,1704143,精品纯生,746,9804,746,72,9804,818,0,99.8777506112469%,91.1980440097799%,生产中
02,1704143,精品纯生,746,9804,746,72,9804,818,0,99.8777506112469%,91.1980440097799%,生产中
02,1704143,精品纯生,746,9804,746,72,9804,818,0,99.8777506112469%,91.1980440097799%,生产中
02,1704143,精品纯生,746,9804,746,72,9804,818,0,99.8777506112469%,91.1980440097799%,生产中
02,1704143,精品纯生,746,9804,746,72,9804,818,0,99.8777506112469%,91.1980440097799%,生产中
02,1704143,精品纯生,746,9804,746,72,9804,818,0,99.8777506112469%,91.1980440097799%,生产中
02,1704143,精品纯生,746,9804,746,72,9804,818,0,99.8777506112469%,91.1980440097799%,生产中
02,1704143,精品纯生,765,10104,765,78,10104,843,0,99.8813760379597%,90.7473309608541%,生产中
02,1704143,精品纯生,792,10440,792,79,10440,871,0,99.8851894374283%,90.9299655568312%,生产中
02,1704143,精品纯生,813,10740,813,83,10740,896,0,99.8883928571428%,90.7366071428571%,生产中
02,1704143,精品纯生,833,11016,833,86,11016,919,0,99.8911860718172%,90.6420021762786%,生产中
02,1704143,精品纯生,855,11328,855,90,11328,945,0,99.8941798941799%,90.4761904761905%,生产中
02,1704143,精品纯生,879,11652,879,93,11652,972,0,99.8971193415638%,90.4320987654321%,生产中
02,1704143,精品纯生,907,11988,907,93,11988,1000,0,99.9%,90.7%,生产中
02,1704143,精品纯生,933,12299,933,93,12299,1026,0,99.8944119558155%,90.9356725146199%,生产中
02,1704143,精品纯生,951,12527,951,93,12527,1044,0,99.8962324393359%,91.0919540229885%,生产中
02,1704143,精品纯生,953,12549,953,93,12549,1046,0,99.8964308476737%,91.1089866156788%,生产中
02,1704143,精品纯生,977,12856,977,95,12856,1072,0,99.8911691542288%,91.1380597014925%,生产中
02,1704143,精品纯生,1003,13191,1003,97,13191,1100,0,99.8863636363636%,91.1818181818182%,生产中
02,1704143,精品纯生,1022,13422,1022,97,13422,1119,0,99.8882931188561%,91.331546023235%,生产中
02,1704143,精品纯生,1048,13737,1048,97,13737,1145,0,99.8908296943231%,91.528384279476%,生产中
02,1704143,精品纯生,1071,14073,1071,102,14073,1173,0,99.8934356351236%,91.304347826087%,生产中
02,1704143,精品纯生,1092,14325,1092,102,14325,1194,0,99.8953098827471%,91.4572864321608%,生产中
02,1704143,精品纯生,1097,14377,1097,103,14377,1200,0,99.8125%,91.4166666666667%,生产中
02,1704143,精品纯生,1097,14379,1097,103,14379,1200,0,99.8125%,91.4166666666667%,生产中
02,1704143,精品纯生,1097,14379,1097,103,14379,1200,0,99.8125%,91.4166666666667%,生产中
02,1704143,精品纯生,1103,14439,1103,103,14439,1206,0,99.7719734660033%,91.4593698175788%,生产中
02,1704143,精品纯生,1121,14662,1121,103,14662,1224,0,99.7617102396514%,91.5849673202614%,生产中
02,1704143,精品纯生,1135,14833,1135,103,14833,1238,0,99.7644049542273%,91.6801292407108%,生产中
02,1704143,精品纯生,1156,15085,1156,103,15085,1259,0,99.7683346571353%,91.8189038919778%,生产中
