产线编号,批次号,产品名称,单据装箱数,单据扫码数,箱码成功数,箱码失败数,瓶码扫描数,分箱数,漏读箱码数,瓶码识读率,箱码识读率,生产状态
02,1704132,普通纯生600瓶,15485,184486,12,5,216,17,0,100%,70.5882352941177%,生产中
02,1704132,普通纯生600瓶,15508,184822,35,10,552,45,0,100%,77.7777777777778%,生产中
02,1704132,普通纯生600瓶,15531,185157,59,15,887,73,0,99.8858447488585%,79.4520547945205%,生产中
02,1704132,普通纯生600瓶,15552,185457,79,20,1187,99,0,99.9158249158249%,79.7979797979798%,生产中
02,1704132,普通纯生600瓶,15573,185745,100,23,1475,123,0,99.9322493224932%,81.3008130081301%,生产中
02,1704132,普通纯生600瓶,15573,185745,100,23,1475,123,0,99.9322493224932%,81.3008130081301%,生产中
02,1704132,普通纯生600瓶,15573,185745,100,23,1475,123,0,99.9322493224932%,81.3008130081301%,生产中
02,1704132,普通纯生600瓶,15577,185817,105,24,1547,128,0,99.9348958333333%,81.25%,生产中
02,1704132,普通纯生600瓶,15604,186128,131,24,1858,155,0,99.8924731182796%,84.5161290322581%,生产中
02,1704132,普通纯生600瓶,15612,186224,139,24,1954,163,0,99.8977505112474%,85.2760736196319%,生产中
02,1704132,普通纯生600瓶,15612,186224,139,24,1954,163,0,99.8977505112474%,85.2760736196319%,生产中
02,1704132,普通纯生600瓶,15612,186224,139,24,1954,163,0,99.8977505112474%,85.2760736196319%,生产中
02,1704132,普通纯生600瓶,15612,186224,139,24,1954,163,0,99.8977505112474%,85.2760736196319%,生产中
02,1704132,普通纯生600瓶,15624,186368,151,24,2098,175,0,99.9047619047619%,86.2857142857143%,生产中
02,1704132,普通纯生600瓶,15650,186680,177,24,2410,201,0,99.9170812603648%,88.0597014925373%,生产中
02,1704132,普通纯生600瓶,15678,187016,205,24,2746,229,0,99.9272197962154%,89.5196506550218%,生产中
02,1704132,普通纯生600瓶,15706,187351,233,24,3081,257,0,99.9027237354086%,90.6614785992218%,生产中
02,1704132,普通纯生600瓶,15731,187651,258,24,3381,282,0,99.9113475177305%,91.4893617021277%,生产中
02,1704132,普通纯生600瓶,15751,187890,278,24,3620,302,0,99.8896247240618%,92.0529801324503%,生产中
02,1704132,普通纯生600瓶,15756,187950,283,24,3680,307,0,99.8914223669924%,92.1824104234528%,生产中
02,1704132,普通纯生600瓶,15782,188264,309,24,3994,333,0,99.8748748748749%,92.7927927927928%,生产中
02,1704132,普通纯生600瓶,15801,188501,328,25,4231,353,0,99.8819641170916%,92.9178470254957%,生产中
02,1704132,普通纯生600瓶,15801,188501,328,25,4231,353,0,99.8819641170916%,92.9178470254957%,生产中
02,1704132,普通纯生600瓶,15801,188501,328,25,4231,353,0,99.8819641170916%,92.9178470254957%,生产中
02,1704132,普通纯生600瓶,15807,188582,334,25,4312,359,0,99.8839368616527%,93.0362116991644%,生产中
02,1704132,普通纯生600瓶,15833,188909,360,26,4639,386,0,99.8920552677029%,93.2642487046632%,生产中
02,1704132,普通纯生600瓶,15861,189245,388,26,4975,414,0,99.8993558776167%,93.719806763285%,生产中
02,1704132,普通纯生600瓶,15886,189544,413,26,5274,439,0,99.8861047835991%,94.0774487471526%,生产中
02,1704132,普通纯生600瓶,15914,189867,441,26,5597,467,0,99.8750892219843%,94.4325481798715%,生产中
02,1704132,普通纯生600瓶,15941,190190,468,26,5920,494,0,99.8650472334683%,94.7368421052632%,生产中
02,1704132,普通纯生600瓶,15969,190525,496,26,6255,522,0,99.8563218390805%,95.0191570881226%,生产中
02,1704132,普通纯生600瓶,15994,190822,521,26,6552,547,0,99.81718464351%,95.2468007312614%,生产中
02,1704132,普通纯生600瓶,16019,191122,546,26,6852,572,0,99.8251748251748%,95.4545454545455%,生产中
02,1704132,普通纯生600瓶,16028,191230,555,26,6960,581,0,99.8278829604131%,95.5249569707401%,生产中
02,1704132,普通纯生600瓶,16028,191230,555,26,6960,581,0,99.8278829604131%,95.5249569707401%,生产中
02,1704132,普通纯生600瓶,16028,191230,555,26,6960,581,0,99.8278829604131%,95.5249569707401%,生产中
