产线编号,批次号,产品名称,单据装箱数,单据扫码数,箱码成功数,箱码失败数,瓶码扫描数,分箱数,漏读箱码数,瓶码识读率,箱码识读率,生产状态
03,1704143,精品纯生,0,0,0,0,0,0,0,,,生产中
03,1704143,精品纯生,0,0,0,0,0,0,0,,,生产中
03,1704143,精品纯生,0,0,0,0,0,0,0,,,生产中
03,1704143,精品纯生,0,0,0,0,0,0,0,,,生产中
03,1704143,精品纯生,0,0,0,0,0,0,0,,,生产中
03,1704143,精品纯生,0,0,0,0,0,0,0,,,生产中
03,1704143,精品纯生,0,0,0,0,0,0,0,,,生产中
03,1704143,精品纯生,20,249,20,0,249,20,0,100%,100%,生产中
03,1704143,精品纯生,26,324,26,0,324,26,0,100%,100%,生产中
03,1704143,精品纯生,44,540,44,0,540,44,0,100%,100%,生产中
03,1704143,精品纯生,59,720,59,0,720,59,0,100%,100%,生产中
03,1704143,精品纯生,83,1008,83,0,1008,83,0,100%,100%,生产中
03,1704143,精品纯生,84,1008,84,0,1008,84,0,100%,100%,生产中
03,1704143,精品纯生,102,1236,102,0,1236,102,0,100%,100%,生产中
03,1704143,精品纯生,127,1536,127,0,1536,127,0,100%,100%,生产中
03,1704143,精品纯生,148,1775,148,0,1775,148,0,99.9436936936937%,100%,生产中
03,1704143,精品纯生,170,2048,170,0,2048,170,0,99.9509803921569%,100%,生产中
03,1704143,精品纯生,196,2360,196,0,2360,196,0,99.9574829931973%,100%,生产中
03,1704143,精品纯生,200,2399,200,0,2399,200,0,99.9583333333333%,100%,生产中
03,1704143,精品纯生,200,2399,200,0,2399,200,0,99.9583333333333%,100%,生产中
03,1704143,精品纯生,201,2420,201,0,2420,201,0,99.9585406301824%,100%,生产中
03,1704143,精品纯生,227,2732,227,0,2732,227,0,99.9632892804699%,100%,生产中
03,1704143,精品纯生,253,3044,253,0,3044,253,0,99.9670619235837%,100%,生产中
03,1704143,精品纯生,279,3356,279,0,3356,279,0,99.9701314217443%,100%,生产中
03,1704143,精品纯生,305,3668,305,0,3668,305,0,99.9726775956284%,100%,生产中
03,1704143,精品纯生,315,3779,315,0,3779,315,0,99.973544973545%,100%,生产中
03,1704143,精品纯生,341,4091,341,0,4091,341,0,99.9755620723363%,100%,生产中
