产线编号,批次号,产品名称,单据装箱数,单据扫码数,箱码成功数,箱码失败数,瓶码扫描数,分箱数,漏读箱码数,瓶码识读率,箱码识读率,生产状态
01,1704143,精品纯生,0,0,0,0,0,0,0,,,生产中
01,1704143,精品纯生,0,0,0,0,0,0,0,,,生产中
01,1704143,精品纯生,0,0,0,0,0,0,0,,,生产中
01,1704143,精品纯生,0,0,0,0,0,0,0,,,生产中
01,1704143,精品纯生,0,0,0,0,0,0,0,,,生产中
01,1704143,精品纯生,0,0,0,0,0,0,0,,,生产中
01,1704143,精品纯生,4,48,4,0,48,4,0,100%,100%,生产中
01,1704143,精品纯生,4,48,4,0,48,4,0,100%,100%,生产中
01,1704143,精品纯生,7,95,7,0,95,7,0,98.8095238095238%,100%,生产中
01,1704143,精品纯生,20,239,20,0,239,20,0,99.5833333333333%,100%,生产中
01,1704143,精品纯生,40,488,40,0,488,40,0,99.7916666666667%,100%,生产中
01,1704143,精品纯生,46,551,46,0,551,46,0,99.8188405797101%,100%,生产中
01,1704143,精品纯生,46,551,46,0,551,46,0,99.8188405797101%,100%,生产中
01,1704143,精品纯生,53,647,54,0,647,53,0,99.8427672955975%,100%,生产中
01,1704143,精品纯生,64,767,64,0,767,64,0,99.8697916666667%,100%,生产中
01,1704143,精品纯生,64,767,64,0,767,64,0,99.8697916666667%,100%,生产中
01,1704143,精品纯生,64,767,64,0,767,64,0,99.8697916666667%,100%,生产中
01,1704143,精品纯生,64,767,64,0,767,64,0,99.8697916666667%,100%,生产中
01,1704143,精品纯生,64,767,64,0,767,64,0,99.8697916666667%,100%,生产中
01,1704143,精品纯生,64,767,64,0,767,64,0,99.8697916666667%,100%,生产中
01,1704143,精品纯生,70,848,70,0,848,70,0,99.8809523809524%,100%,生产中
01,1704143,精品纯生,74,887,74,0,887,74,0,99.8873873873874%,100%,生产中
01,1704143,精品纯生,74,887,74,0,887,74,0,99.8873873873874%,100%,生产中
01,1704143,精品纯生,74,887,74,0,887,74,0,99.8873873873874%,100%,生产中
01,1704143,精品纯生,74,887,74,0,887,74,0,99.8873873873874%,100%,生产中
01,1704143,精品纯生,74,887,74,0,887,74,0,99.8873873873874%,100%,生产中
01,1704143,精品纯生,83,1007,83,0,1007,83,0,99.8995983935743%,100%,生产中
01,1704143,精品纯生,106,1273,106,0,1273,106,0,99.8427672955975%,100%,生产中
01,1704143,精品纯生,127,1531,127,0,1531,127,0,99.8687664041995%,100%,生产中
01,1704143,精品纯生,141,1693,141,0,1693,141,0,99.8817966903073%,100%,生产中
01,1704143,精品纯生,151,1822,151,0,1822,151,0,99.8896247240618%,100%,生产中
01,1704143,精品纯生,169,2032,169,0,2032,169,0,99.9013806706114%,100%,生产中
01,1704143,精品纯生,192,2302,192,0,2302,192,0,99.9131944444445%,100%,生产中
